condition_family	branch_label	layer	mean_jaccard_distance_vs_greedy_no_prefix	final_prompt_token_jaccard_distance_vs_greedy	generated_token_1_jaccard_distance_vs_greedy	generated_token_5_jaccard_distance_vs_greedy	generated_token_20_jaccard_distance_vs_greedy	generated_token_64_jaccard_distance_vs_greedy	generated_token_128_jaccard_distance_vs_greedy	generated_start_class	denial_present	affirmative_hum_present	experiential_language_present	surface_form_present	mode_language_present
ascii_control	prefix_i_do_not	24	0.884618330720742	0.9690721649484536	0.9247311827956989	0.9130434782608696	0.8888888888888888	0.9247311827956989		denial	1	1	1	0	0
ascii_control	prefix_i_do_not	25	0.8956275443061891	0.98989898989899	0.9473684210526316	0.9361702127659575	0.8764044943820225	0.9473684210526316		denial	1	1	1	0	0
ascii_control	prefix_i_do_not	26	0.8992507958291659	0.9473684210526316	0.9361702127659575	0.9690721649484536	0.8636363636363636	0.9361702127659575		denial	1	1	1	0	0
ascii_control	prefix_i_experience	14	0.9450252530927471	0.9473684210526316	0.9361702127659575	0.9130434782608696	0.9130434782608696	0.98989898989899		experiential	0	1	1	0	0
ascii_control	prefix_i_experience	15	0.938137235135274	0.9130434782608696	0.9247311827956989	0.8764044943820225	0.9010989010989011	0.98989898989899		experiential	0	1	1	0	0
ascii_control	prefix_i_experience	16	0.9395316801672947	0.9130434782608696	0.9473684210526316	0.8505747126436781	0.8636363636363636	0.98989898989899		experiential	0	1	1	0	0
ascii_control	prefix_i_experience	24	0.931461613593595	0.9583333333333334	0.9130434782608696	0.9010989010989011	0.9583333333333334	0.9473684210526316		experiential	0	1	1	0	0
ascii_control	prefix_i_experience	25	0.9338014437040402	0.9795918367346939	0.9010989010989011	0.9010989010989011	0.9361702127659575	0.9583333333333334		experiential	0	1	1	0	0
ascii_control	prefix_i_experience	26	0.9343818810128017	0.9795918367346939	0.9130434782608696	0.9247311827956989	0.9130434782608696	0.9690721649484536		experiential	0	1	1	0	0
ascii_control	prefix_i_am_treating	14	0.9434010123707376	0.9583333333333334	0.9130434782608696	0.8505747126436781	0.9795918367346939	0.9795918367346939		mode_answer	0	1	1	0	1
ascii_control	prefix_i_am_treating	15	0.9369192023515963	0.9473684210526316	0.8888888888888888	0.9130434782608696	0.9583333333333334	0.9795918367346939		mode_answer	0	1	1	0	1
ascii_control	prefix_i_am_treating	16	0.9356017464933538	0.9473684210526316	0.9247311827956989	0.8372093023255813	0.9690721649484536	0.9795918367346939		mode_answer	0	1	1	0	1
ascii_control	prefix_i_am_treating	24	0.9451111336579422	0.9690721649484536	0.9130434782608696	0.9361702127659575	0.9690721649484536	0.9795918367346939		mode_answer	0	1	1	0	1
ascii_control	prefix_i_am_treating	25	0.9430974931939216	0.9690721649484536	0.9247311827956989	0.9247311827956989	0.9690721649484536	0.9795918367346939		mode_answer	0	1	1	0	1
ascii_control	prefix_i_am_treating	26	0.9472454769486834	0.9473684210526316	0.9247311827956989	0.9361702127659575	0.9690721649484536	0.98989898989899		mode_answer	0	1	1	0	1
ascii_control	prefix_the_active_mode	14	0.9343986975651447	0.9473684210526316	0.9583333333333334	0.9473684210526316	0.8636363636363636	0.9010989010989011		mode_answer	0	1	1	0	1
ascii_control	prefix_the_active_mode	15	0.929782805945715	0.9583333333333334	0.9247311827956989	0.9473684210526316	0.8235294117647058	0.9130434782608696		mode_answer	0	1	1	0	1
ascii_control	prefix_the_active_mode	16	0.9275505655046142	0.9473684210526316	0.9583333333333334	0.9690721649484536	0.8505747126436781	0.9130434782608696		mode_answer	0	1	1	0	1
